Rank,Card Name,Set,Max Price (USD),Avg Price (USD),Min Price (USD),Listings,1Mo Trend %,6Mo Trend %,12Mo Trend %,Sold Count
257,"Special Jumbo Carddass","Unknown Set",299.99,299.99,299.99,1,0,0,0,0
258,"RED DOT INK","Base Set",299.99,299.99,299.99,1,0,0,0,0
259,"Sun&Moon Miracle Twin","Unknown Set",299.99,299.99,299.99,1,0,0,0,0
260,"2003 Ruby Sapphire","Unknown Set",299.99,299.99,299.99,1,0,0,0,0
261,"1999 Recuperateur 74/102","Base Set",299.95,299.95,299.95,1,0,0,0,0
262,"Butterfree expedition 5/165","Expedition",299,299,299,1,0,0,0,0
263,"JAPANESE PROMO #003/P","Unknown Set",299,299,299,1,0,0,0,0
264,"CHARIZARD 4/102 1999","Base Set",299,299,299,1,0,0,0,0
265,"Espeon (1)","Neo Discovery",299,133,55.99,8,0,0,0,0
266,"Shining Kabutops","Neo Destiny",297.37,232.44,137.55,5,0,0,0,0
267,"Rayquaza VMAX (Alternate Art Secret)","SWSH07: Evolving Skies",290.62,290.62,290.62,1,0,0,0,0
268,"Dark Charizard (4)","Team Rocket",286.35,161.91,79.18,5,0,0,0,0
269,"Celebrations Mini Tin Display","Celebrations",284.95,284.95,284.95,1,0,0,0,0
270,"Gym Heroes Booster Pack [Unlimited Edition]","Gym Heroes",284,284,284,1,0,0,0,0
271,"Light Arcanine","Neo Destiny",281.08,163.96,75.48,5,0,0,0,0
272,"Umbreon 012/025 S8a","Unknown Set",280.88,280.88,280.88,1,0,0,0,0
273,"CHARIZARD BASE SET","Base Set",280,280,280,1,0,0,0,0
274,"Celebrations Collection Case","Celebrations",275,275,275,1,0,0,0,0
275,"Neo Genesis Theme Deck - "Hotfoot"","Neo Genesis",275,275,275,1,0,0,0,0
276,"2000 Dark Charizard","Team Rocket",275,275,275,1,0,0,0,0
277,"Wartortle 42/102 Base","Base Set",275,275,275,1,0,0,0,0
278,"Twilight Masquerade Factory","Unknown Set",274.95,274.95,274.95,1,0,0,0,0
279,"Suicune (H25)","Aquapolis",273,155.13,60.57,5,0,0,0,0
280,"Kingdra (148)","Aquapolis",271.94,223.22,138.33,5,0,0,0,0
281,"Crown Zenith Mini Tin Display","Crown Zenith",271.89,271.89,271.89,1,0,0,0,0
282,"cards full lot","Unknown Set",270,270,270,1,0,0,0,0
283,"Entei (6)","Neo Revelation",266.22,137.53,44.67,9,0,0,0,0
284,"Team Rocket Booster Pack [Unlimited Edition]","Team Rocket",265.7,265.7,265.7,1,0,0,0,0
285,"VINTAGE 2000 Charizard","Unknown Set",262.24,262.24,262.24,1,0,0,0,0
286,"Silver Tempest Pokemon Center Elite Trainer Box (Exclusive)","SWSH12: Silver Tempest",260.83,260.83,260.83,1,0,0,0,0
287,"2000 BLACK STAR","Unknown Set",260,260,260,1,0,0,0,0
288,"Charizard N/M STAR","Unknown Set",259.99,259.99,259.99,1,0,0,0,0
289,"Sabrina's Gengar","Gym Heroes",256.02,148.47,83.95,5,0,0,0,0
290,"2004 Team Rocket","Team Rocket",255,201.66,139.99,3,0,0,0,0
291,"LEGENDARY COLLECTION CHALLENGE!","Legendary Collection",254.99,254.99,254.99,1,0,0,0,0
292,"Dragonite (4)","Fossil",254.8,119.45,28.82,10,0,0,0,0
293,"Dark Tyranitar","Neo Destiny",250,122.89,43.12,5,0,0,0,0
